815,1119,977,3176,498,3700,2344,3092,2296,2476,2633,3230,4393,3268,406,427,795,1238,2477,2659,2963,1998,3377,1311,970
0,0,5,3,0,0,0,0,0,3,0,0,4,0,1,3,0,0,0,0,0,0,0,0,0
0,5,0,3,2,0,0,5,4,0,4,4,0,4,0,0,4,3,4,0,4,4,3,3,0
0,5,0,4,0,0,3,0,2,3,0,4,5,0,4,3,2,0,3,0,4,4,0,3,0
3,0,0,3,4,2,0,5,3,0,5,0,0,0,5,0,5,4,0,4,3,3,4,0,0
4,4,0,0,0,0,4,4,3,5,0,4,3,0,0,4,0,0,0,0,3,0,0,4,4
0,3,5,2,0,0,0,3,0,4,0,3,4,5,0,0,0,0,0,4,0,0,2,0,2
5,0,5,0,0,1,5,5,0,5,0,0,0,0,0,0,0,3,0,5,0,4,1,0,4
4,0,0,0,0,1,0,0,2,4,5,0,4,3,0,0,0,4,0,0,0,0,5,0,0
3,0,3,5,4,0,1,0,3,3,5,2,4,0,5,4,0,5,4,5,5,0,0,0,0
0,3,4,3,0,1,3,0,3,0,0,3,4,5,2,3,0,0,3,3,3,3,4,0,5
0,0,3,0,0,0,0,0,3,0,4,0,5,0,0,4,3,0,3,0,2,4,0,0,4
5,5,0,0,5,3,0,0,1,0,5,0,0,3,4,0,4,0,3,0,0,0,2,0,0
4,4,3,2,3,0,0,0,0,4,5,4,5,0,5,3,5,3,3,0,3,4,0,3,4
1,5,0,0,3,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,4,0,4,0
0,0,3,3,0,3,3,2,2,0,0,0,5,0,0,3,0,2,0,0,2,3,3,0,3
0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,4,0,5
0,0,2,2,0,1,0,0,0,0,4,1,3,0,0,3,0,0,0,3,3,4,0,1,4
4,4,0,0,5,0,0,0,0,0,5,0,0,0,3,0,5,4,2,0,0,0,0,4,0
2,4,0,0,0,1,5,4,0,4,0,2,5,0,0,0,0,3,4,2,2,0,3,4,0
5,4,0,0,0,3,3,0,0,4,0,4,0,0,0,0,5,5,5,4,0,0,4,4,0
4,0,0,0,3,4,0,0,3,3,5,1,5,0,0,4,4,0,4,0,4,0,0,4,4
0,3,2,3,0,3,3,3,0,2,0,3,5,0,4,3,4,0,0,2,3,0,3,1,4
0,5,3,3,0,1,3,2,0,0,4,0,0,0,4,3,4,0,3,0,4,4,0,4,5
0,0,3,3,0,0,3,0,0,0,0,0,5,0,0,4,0,0,0,0,4,4,0,0,0
